Function,Limit,Time
Iterable,42,0.01813907054977726
Functional,43,0.03318884236563058
Comprehension,43,0.02997322423548132
Iterable,43,0.03281817388733366
Functional,44,0.03621971837880089
Comprehension,44,0.04270306139004232
Iterable,44,0.016101775537538554
Functional,45,0.03701868855992352
Comprehension,45,0.04167000557779055
Iterable,45,0.011872839000798052
Functional,46,0.0368122352967184
Comprehension,46,0.0438537521400284
Iterable,46,0.02625746024590425
Functional,47,0.03540930050239588
Comprehension,47,0.03271514462978775
Iterable,47,0.03408452583448751
Functional,48,0.04037681075893884
Comprehension,48,0.054533662342727496
Iterable,48,0.011537697852688655
Functional,49,0.037902134837271007
Comprehension,49,0.03616998011653738
Iterable,49,0.012435355062111686
Functional,50,0.03980324175045524
Comprehension,50,0.051486206908802234
Iterable,50,0.011851917350798047
Functional,51,0.04095866947779925
Comprehension,51,0.04484693839284626
Iterable,51,0.020539533826163137
Functional,52,0.04190369646080683
Comprehension,52,0.04885402648996706
Iterable,52,0.01954595282523197
Functional,53,0.03926125259102786
Comprehension,53,0.03685763132973685
Iterable,53,0.04009653959856507
Functional,54,0.044276922117381545
Comprehension,54,0.06441104963128552
Iterable,54,0.010988603227223948
Functional,55,0.04444311107303989
Comprehension,55,0.045014311592844525
Iterable,55,0.01626559600451749
Functional,56,0.045593012326799354
Comprehension,56,0.061626101692640045
Iterable,56,0.017730901000726274
Functional,57,0.04892231791355117
Comprehension,57,0.05123238387201301
Iterable,57,0.023305139107261397
Functional,58,0.0451899745032196
Comprehension,58,0.05474406308706392
Iterable,58,0.029478210101525626
Functional,59,0.04452166594756779
Comprehension,59,0.04019285813818563
Iterable,59,0.0421942310721235
Functional,60,0.049930109846557436
Comprehension,60,0.07078899489630164
Iterable,60,0.015504916390375989
Functional,61,0.0555698761398844
Comprehension,61,0.04382572502399107
Iterable,61,0.044269816651343774
Functional,62,0.04897679315317305
Comprehension,62,0.0679049651812429
Iterable,62,0.039156644341028723
Functional,63,0.05937485320304514
Comprehension,63,0.05701031200496143
Iterable,63,0.0157188698677313
Functional,64,0.051131328355033645
Comprehension,64,0.05852417101909424
Iterable,64,0.009546983117806995
Functional,65,0.04949865015882704
Comprehension,65,0.05201793261728671
Iterable,65,0.018953435907314464
Functional,66,0.05264992434652438
Comprehension,66,0.07534123013775584
Iterable,66,0.018754482858260424
Functional,67,0.04832427452204868
Comprehension,67,0.04603947244283191
Iterable,67,0.048547307206008306
Functional,68,0.0630491686407364
Comprehension,68,0.08455544059613285
Iterable,68,0.0268906362194814
Functional,69,0.05880799491248556
Comprehension,69,0.07719180929244995
Iterable,69,0.035333114116547826
Functional,70,0.07193494866892891
Comprehension,70,0.08498571603952332
Iterable,70,0.017076013880922503
Functional,71,0.05370390180877482
Comprehension,71,0.06811497117746601
Iterable,71,0.10424666072702315
Functional,72,0.17096777631677096
Comprehension,72,0.14568810714727043
Iterable,72,0.028550157287385858
Functional,73,0.11870904735043109
Comprehension,73,0.08039519023108976
Iterable,73,0.0970365864393763
Functional,74,0.07850237302828234
Comprehension,74,0.07072149296894459
Iterable,74,0.03584865515239066
Functional,75,0.05928090315210266
Comprehension,75,0.07216350782647307
Iterable,75,0.014288697453598509
Functional,76,0.06062857321057713
